update,cal_acc,cal_cov,cal_size,ood_acc,ood_cov,ood_size
calibration,0.75824,0.9032000000000001,2.18924,,,
none,,,,63.19000244140625,0.8161823248407644,2.604299363057325
eacp,,,,62.75999450683594,0.9136146496815286,9.460589171974522
eacp_gini,,,,62.839996337890625,0.7953821656050956,2.2832404458598727
eacp_top2,,,,63.11000061035156,0.8021496815286624,2.432424363057325
eacp_gini_norm,,,,63.44000244140625,0.8842555732484076,6.067575636942675
eacp_top2_norm,,,,62.80999755859375,0.9061504777070064,8.121914808917197
eacp_adaptive,,,,63.279998779296875,0.9181926751592356,10.230891719745223
eacp_online,,,,62.93999481201172,0.9124203821656051,9.14390923566879
eacp_sliding,,,,62.98999786376953,0.9130175159235668,9.517416401273886
eacp_top2_norm_adaptive,,,,62.909996032714844,0.9098328025477707,9.296178343949045
eacp_adaptive_scaling,,,,62.83000183105469,0.921875,11.798367834394904
tent_ecp,,,,63.01000213623047,0.9166003184713376,9.85061703821656
tent_ecp_adaptive,,,,63.11000061035156,0.9212778662420382,10.673467356687897
